GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RevivingSoftware,main.java.persistencia,LoginDAO,28,154,4,4,4,48,4,7,0,7
RevivingSoftware,main.java.persistencia,EdicionDAO,6,101,2,2,2,28,2,4,0,4
RevivingSoftware,main.java.persistencia,GestorBD,76,141,4,4,19,40,3,11,1,9
RevivingSoftware,main.java.persistencia,Excepciones.UrlException,7,0,0,0,3,0,1,0,1,0
RevivingSoftware,main.java.persistencia,Excepciones.FechaComparacionException,7,0,0,0,3,0,1,0,1,0
RevivingSoftware,main.java.persistencia,Excepciones.SelectException,7,0,0,0,3,0,1,0,1,0
RevivingSoftware,main.java.persistencia,MatriculaDAO,44,186,10,4,11,48,8,6,1,6
RevivingSoftware,main.java.persistencia,Excepciones.SQLException,7,0,0,0,3,0,1,0,1,0
RevivingSoftware,main.java.persistencia,Excepciones.ConfigFileException,4,0,0,0,2,0,1,0,1,0
RevivingSoftware,main.java.persistencia,Excepciones,3,0,0,0,1,0,1,0,1,0
RevivingSoftware,main.java.persistencia,CursoPropioDAO,38,491,6,10,10,121,7,16,1,14
RevivingSoftware,main.java.persistencia,Excepciones.TypeUserException,4,0,0,0,2,0,1,0,1,0
RevivingSoftware,main.java.negocio.entities,CursoPropio,0,108,0,0,0,29,0,15,0,15
RevivingSoftware,main.java.negocio.entities,Facultad,64,0,0,0,2,0,1,0,1,0
RevivingSoftware,main.java.negocio.entities,Matricula,6,98,0,0,3,19,1,10,1,10
RevivingSoftware,main.java.negocio.entities,Centro,0,9,0,0,0,4,0,2,0,2
RevivingSoftware,main.java.negocio.entities,ModoPago,0,24,0,0,0,2,0,1,0,1
RevivingSoftware,main.java.negocio.entities,TipoCurso,0,74,0,0,0,2,0,1,0,1
RevivingSoftware,main.java.negocio.entities,EstadoCurso,0,64,0,0,0,2,0,1,0,1
RevivingSoftware,main.java.negocio.controllers,GestorConsultas,0,172,0,10,0,44,0,17,0,12
RevivingSoftware,main.java.negocio.controllers,GestorLogin,0,16,0,0,0,4,0,2,0,2
RevivingSoftware,main.java.negocio.controllers,GestorPropuestasCursos,16,67,0,0,4,19,2,7,2,7
RevivingSoftware,main.java.negocio.controllers,GestorMatriculacion,0,28,0,0,0,8,0,3,0,3
RevivingSoftware,main.java.negocio.controllers,GestorEdiciones,0,31,0,0,0,8,0,3,0,3
RevivingSoftware,main.java.presentacion,PantallaEstudiante,394,0,0,0,94,0,7,0,7,0
RevivingSoftware,main.java.presentacion,PantallaPropuestasRealizadas,375,0,8,0,92,0,13,0,9,0
RevivingSoftware,main.java.presentacion,PantallaDireccionCursos,475,0,2,0,113,0,9,0,8,0
RevivingSoftware,main.java.presentacion,PantallaRealizarPropuestas.new KeyAdapter() {...},9,0,0,0,3,0,2,0,2,0
RevivingSoftware,main.java.presentacion,PantallaRealizarPropuestas.new KeyAdapter() {...},9,0,0,0,3,0,2,0,2,0
RevivingSoftware,main.java.presentacion,PantallaRealizarPropuestas.new KeyAdapter() {...},9,0,0,0,3,0,2,0,2,0
RevivingSoftware,main.java.presentacion,PantallaJefeGabineteVicerrectorado,314,0,0,0,74,0,5,0,5,0
RevivingSoftware,main.java.presentacion,PantallaPropuestasRechazadas,324,0,16,0,77,0,16,0,8,0
RevivingSoftware,main.java.presentacion,PantallaRealizarPropuestas.new KeyAdapter() {...},9,0,0,0,3,0,2,0,2,0
RevivingSoftware,main.java.presentacion,PantallaMatriculacion,377,0,4,0,93,0,8,0,6,0
RevivingSoftware,main.java.presentacion,PantallaEmpezarMatriculacion,328,0,6,0,78,0,9,0,6,0
RevivingSoftware,main.java.presentacion,PantallaDatosAlumno,830,0,8,0,152,0,17,0,13,0
RevivingSoftware,main.java.presentacion,PantallaEvaluarCurso,373,0,12,0,84,0,12,0,6,0
RevivingSoftware,main.java.presentacion,PantallaConectar,155,0,0,0,40,0,5,0,5,0
RevivingSoftware,main.java.presentacion,PantallaLogin,890,0,13,0,192,0,26,0,18,0
RevivingSoftware,main.java.presentacion,PantallaComenzarCurso,460,0,8,0,104,0,13,0,9,0
RevivingSoftware,main.java.presentacion,PantallaVisualizarCurso,1149,0,0,0,205,0,6,0,6,0
RevivingSoftware,main.java.presentacion,PantallaRealizarPropuestas,2351,0,129,0,463,0,95,0,22,0
RevivingSoftware,main.java.presentacion,PantallaEstadisticasCursos,618,0,4,0,144,0,12,0,10,0
RevivingSoftware,main.java.presentacion,PantallaMisCursos,237,0,4,0,58,0,7,0,5,0
RevivingSoftware,main.java.presentacion,PantallaEmpleadosVicerrectorado,291,0,0,0,65,0,5,0,5,0
